#Tot,StNr,Naam,MV,#MV,Cat,#Cat,Zwem,Wis1,Fiets,NaFiets,Wis2,Loop,Totaal
1,201,Tristan Olij,M,1,M20,1,7:37,1:04,28:12:00,36:52:00,1:38,17:01,00:55:29
2,209,Noël Sterk,M,2,M20,2,7:32,1:02,30:42:00,39:15:00,1:23,17:17,00:57:53
3,204,Josh Garrone,M,3,M20,3,8:00,1:05,31:12:00,40:17:00,1:19,16:48,00:58:23
4,202,Emiel van Tongerlo,M,4,M41,1,8:29,1:03,30:11:00,39:42:00,1:23,17:43,00:58:47
5,205,Thijs van der Zee,M,5,M20,4,8:39,1:09,30:26:00,40:13:00,1:23,19:09,1:00:44
6,207,Kay Blokdijk,M,6,M20,5,9:46,1:23,29:56:00,41:04:00,1:55,18:43,1:01:40
7,210,Mark Elbertsen,M,7,M20,6,8:37,1:35,31:18:00,41:29:00,1:43,18:34,1:01:44
8,258,Owen van Hooff,M,8,M20,7,8:39,1:07,33:10:00,42:55:00,1:33,17:43,1:02:10
9,285,Paul Nieuwenhuizen,M,9,M41,2,9:27,1:12,30:52:00,41:30:00,1:29,19:53,1:02:50
10,103,Sven de Haas,M,10,Jun,1,8:17,1:12,32:33:00,42:01:00,1:28,19:24,1:02:52
11,326,Jos Smit,M,11,M41,3,9:18,1:30,31:20:00,42:07:00,1:31,19:26,1:03:03
12,305,Rinse van de Ouweelen,M,12,M41,4,9:10,1:21,31:42:00,42:11:00,1:52,19:07,1:03:10
13,308,Jos Pronk,M,13,M41,5,9:47,2:02,30:10:00,41:58:00,1:47,19:39,1:03:24
14,369,Arno van Zwieten,M,14,M20,8,9:59,1:41,30:33:00,42:12:00,1:42,19:39,1:03:32
15,367,Koos Zut,M,15,M51,1,9:25,1:25,30:38:00,41:27:00,2:01,20:09,1:03:36
16,208,Michael Emmerik,M,16,M41,6,12:47,1:39,30:00:00,44:25:00,1:29,18:05,1:03:57
17,64,Morena Stevens,V,1,V20,1,9:39,1:02,33:07:00,43:47:00,1:28,18:55,1:04:09
18,337,Eric Storms,M,17,M20,9,9:34,1:22,32:03:00,42:58:00,2:01,19:32,1:04:29
19,235,Erik Buis,M,18,M20,10,11:59,1:50,31:25:00,45:14:00,1:45,18:07,1:05:05
20,342,Onno Timmermans,M,19,M41,7,11:22,1:54,30:08:00,43:23:00,1:38,20:23,1:05:22
21,293,Robin Marees,M,20,M41,8,11:02,1:38,31:49:00,44:28:00,2:08,19:57,1:06:32
22,341,Mitchell Tijsen,M,21,M20,11,11:27,1:40,31:48:00,44:54:00,1:51,20:01,1:06:44
23,360,Koen van Wieren,M,22,M20,12,12:06,2:11,31:21:00,45:37:00,1:55,19:23,1:06:54
24,352,Dave de Groot,M,23,M20,13,12:58,1:27,30:49:00,45:13:00,1:49,19:53,1:06:54
25,283,Thijs de Lange,M,24,M20,14,9:55,1:36,31:02:00,42:31:00,2:02,22:22,1:06:54
26,350,Erik Visser,M,25,M20,15,10:46,1:38,32:09:00,44:32:00,1:52,20:37,1:07:01
27,317,Dennis Schipper,M,26,M41,9,9:54,1:06,34:32:00,45:31:00,1:44,19:57,1:07:10
28,368,Rens Zuurbier,M,27,M20,16,12:29,1:27,32:01:00,45:56:00,1:50,19:26,1:07:11
29,257,Jan Hof,M,28,M41,10,11:26,1:24,33:01:00,45:49:00,1:55,19:53,1:07:36
30,3,Anita Verkerk,V,2,V20,2,9:50,1:28,34:16:00,45:33:00,1:31,20:39,1:07:42
31,28,Laura van den Heuvel,V,3,V20,3,9:53,1:29,34:13:00,45:34:00,1:43,20:28,1:07:44
32,336,Rens Sterk,M,29,M51,2,12:14,1:45,33:00:00,46:58:00,1:45,19:31,1:08:14
33,332,Sander van Staveren,M,30,M41,11,11:27,1:53,33:12:00,46:31:00,1:48,20:00,1:08:19
34,2,Serina Schouwenaar,V,4,V20,4,9:45,1:31,33:24:00,44:39:00,1:35,22:16,1:08:29
35,240,Ruud Doodeman,M,31,M51,3,10:17,1:18,35:00:00,46:35:00,1:38,20:37,1:08:49
36,325,Michael Smit,M,32,M20,17,8:49,1:28,35:19:00,45:36:00,2:25,21:17,1:09:17
37,244,Youri Ellenbroek,M,33,M20,18,10:48,1:31,35:42:00,48:00:00,1:51,19:28,1:09:18
38,230,Bart Brinkman,M,34,M51,4,14:32,3:05,23:39,41:15:00,3:41,24:30:00,1:09:26
39,233,Nico Buddelmeijer,M,35,M20,19,10:30,1:53,32:34:00,44:56:00,1:57,22:39,1:09:31
40,353,Ronald de Groot,M,36,M51,5,11:51,1:43,32:33:00,46:06:00,1:54,21:40,1:09:39
41,335,Martijn Stengewis,M,37,M41,12,12:37,2:05,31:12:00,45:53:00,1:50,22:01,1:09:43
42,318,Christiaan Schipper,M,38,M20,20,12:04,1:41,33:28:00,47:12:00,1:35,21:01,1:09:48
43,110,Mees Meuge,M,39,Jun,2,10:16,1:19,36:34:00,48:09:00,1:37,20:13,1:09:58
44,269,Maarten Kamsma,M,40,M20,21,11:48,1:37,33:08:00,46:33:00,1:37,21:51,1:09:59
45,333,patrick smal,M,41,M20,22,11:25,1:46,34:03:00,47:13:00,1:55,21:04,1:10:11
46,320,Alan Simmonds,M,42,M41,13,12:26,1:32,33:35:00,47:32:00,1:37,21:11,1:10:18
47,277,Ruud Koopman,M,43,M20,23,9:05,2:11,34:17:00,45:32:00,2:16,22:36,1:10:24
48,224,Martin Bloothoofd,M,44,M41,14,11:56,1:34,32:58:00,46:28:00,1:51,22:20,1:10:37
49,343,Micha Varkevisser,M,45,M20,24,11:15,1:12,37:10:00,49:36:00,1:28,19:38,1:10:41
50,324,Bram Spaans,M,46,M20,25,12:09,1:27,34:21:00,47:55:00,1:38,21:16,1:10:49
51,249,Simon Gootjes,M,47,M51,6,11:12,1:47,33:37:00,46:36:00,2:25,21:56,1:10:55
52,284,Niek van Langen,M,48,M41,15,10:50,1:46,34:02:00,46:36:00,1:59,22:23,1:10:58
53,273,Edward Kardinaal,M,49,M51,7,10:03,1:27,32:50:00,44:19:00,1:58,24:51:00,1:11:07
54,266,Sandy de Joode,M,50,M41,16,13:42,1:26,33:10:00,48:17:00,1:32,21:22,1:11:10
55,351,Rob van der Voort,M,51,M20,26,11:02,2:10,34:19:00,47:31:00,1:51,22:00,1:11:21
56,297,Maarten Moes,M,52,M20,27,10:43,1:21,32:02:00,44:05:00,1:36,25:52:00,1:11:32
